id,homeTeam,awayTeam,matchDate,stadiumId,kickoffTime
MATCH001,Viet Nam,Thai Lan,2026-06-05 19:30:00,ST001,19:30:00
MATCH002,Viet Nam,Indonesia,2026-06-12 19:00:00,ST002,19:00:00
MATCH003,Ha Noi FC,Hai Phong FC,2026-06-20 18:00:00,ST003,18:00:00
MATCH004,CLB CAHN,Nam Dinh FC,2026-06-27 18:30:00,ST001,18:30:00
MATCH005,Viet Nam,Malaysia,2026-07-03 19:00:00,ST002,19:00:00
MATCH006,Binh Dinh FC,Thanh Hoa FC,2026-07-10 17:30:00,ST003,17:30:00
MATCH007,Viet Nam,Singapore,2026-07-17 19:00:00,ST001,19:00:00
MATCH008,Ha Noi FC,Cong An HN,2026-07-24 18:00:00,ST002,18:00:00
MATCH009,TP HCM FC,Da Nang FC,2026-07-31 17:30:00,ST003,17:30:00
MATCH010,Viet Nam,Philippines,2026-08-07 19:00:00,ST001,19:00:00
