id,sectionId,rowNumber,seatNumber,status,version
SEAT000001,ST001_S01,1,1,AVAILABLE,0
SEAT000002,ST001_S01,1,2,AVAILABLE,0
SEAT000003,ST001_S01,1,3,AVAILABLE,0
SEAT000004,ST001_S01,1,4,AVAILABLE,0
SEAT000005,ST001_S01,1,5,AVAILABLE,0
SEAT000006,ST001_S01,1,6,AVAILABLE,0
SEAT000007,ST001_S01,1,7,AVAILABLE,0
SEAT000008,ST001_S01,1,8,AVAILABLE,0
SEAT000009,ST001_S01,1,9,AVAILABLE,0
SEAT000010,ST001_S01,1,10,AVAILABLE,0
SEAT000011,ST001_S01,1,11,AVAILABLE,0
SEAT000012,ST001_S01,1,12,AVAILABLE,0
SEAT000013,ST001_S01,1,13,AVAILABLE,0
SEAT000014,ST001_S01,1,14,AVAILABLE,0
SEAT000015,ST001_S01,1,15,AVAILABLE,0
SEAT000016,ST001_S01,1,16,AVAILABLE,0
SEAT000017,ST001_S01,1,17,AVAILABLE,0
SEAT000018,ST001_S01,1,18,AVAILABLE,0
SEAT000019,ST001_S01,1,19,AVAILABLE,0
SEAT000020,ST001_S01,1,20,AVAILABLE,0
SEAT000021,ST001_S01,1,21,AVAILABLE,0
SEAT000022,ST001_S01,1,22,AVAILABLE,0
SEAT000023,ST001_S01,1,23,AVAILABLE,0
SEAT000024,ST001_S01,1,24,AVAILABLE,0
SEAT000025,ST001_S01,1,25,AVAILABLE,0
SEAT000026,ST001_S01,1,26,AVAILABLE,0
SEAT000027,ST001_S01,1,27,AVAILABLE,0
SEAT000028,ST001_S01,1,28,AVAILABLE,0
SEAT000029,ST001_S01,1,29,AVAILABLE,0
SEAT000030,ST001_S01,1,30,AVAILABLE,0
SEAT000031,ST001_S01,1,31,AVAILABLE,0
SEAT000032,ST001_S01,1,32,AVAILABLE,0
SEAT000033,ST001_S01,1,33,AVAILABLE,0
SEAT000034,ST001_S01,1,34,AVAILABLE,0
SEAT000035,ST001_S01,1,35,AVAILABLE,0
SEAT000036,ST001_S01,1,36,AVAILABLE,0
SEAT000037,ST001_S01,1,37,AVAILABLE,0
