id,stadiumId,name,type,price,totalRows,seatsPerRow
ST001_S01,ST001,VIP A,VIP,1200000,10,50
ST001_S02,ST001,VIP B,VIP,1200000,10,50
ST001_S03,ST001,Standard A,NORMAL,700000,30,100
ST001_S04,ST001,Standard B,NORMAL,500000,30,100
ST001_S05,ST001,Standard C,NORMAL,350000,30,100
ST001_S06,ST001,Economy A,NORMAL,250000,20,100
ST001_S07,ST001,Economy B,NORMAL,250000,20,100
ST001_S08,ST001,Standing,STANDING,150000,5,100
ST002_S01,ST002,VIP A,VIP,1200000,10,50
ST002_S02,ST002,VIP B,VIP,1200000,10,50
ST002_S03,ST002,Standard A,NORMAL,700000,30,100
ST002_S04,ST002,Standard B,NORMAL,500000,30,100
ST002_S05,ST002,Standard C,NORMAL,350000,30,100
ST002_S06,ST002,Economy A,NORMAL,250000,20,100
ST002_S07,ST002,Economy B,NORMAL,250000,20,100
ST002_S08,ST002,Standing,STANDING,150000,5,100
ST003_S01,ST003,VIP A,VIP,1200000,10,50
ST003_S02,ST003,VIP B,VIP,1200000,10,50
ST003_S03,ST003,Standard A,NORMAL,700000,30,100
ST003_S04,ST003,Standard B,NORMAL,500000,30,100
ST003_S05,ST003,Standard C,NORMAL,350000,30,100
ST003_S06,ST003,Economy A,NORMAL,250000,20,100
ST003_S07,ST003,Economy B,NORMAL,250000,20,100
ST003_S08,ST003,Standing,STANDING,150000,5,100
