id,concurrencyMode,threadCount,totalSeats,successfulBookings,failedBookings,doubleBookingCount,durationMs,throughput,doubleBookingRate,timestamp
SIM_1784866555629,NO_LOCK,200,50,59,0,0,30010,1.97,0.00,2026-07-24 11:15:55
SIM_1784866587593,SYNCHRONIZED,200,50,4,0,0,30013,0.13,0.00,2026-07-24 11:16:27
SIM_1784866588312,FILE_LOCK,200,50,1,0,0,94,10.64,0.00,2026-07-24 11:16:28
SIM_1784866602384,NO_LOCK,200,50,200,0,150,3669,54.51,300.00,2026-07-24 11:16:42
SIM_1784866605567,SYNCHRONIZED,200,50,48,152,0,1428,140.06,0.00,2026-07-24 11:16:45
SIM_1784866606601,FILE_LOCK,200,50,1,0,0,131,7.63,0.00,2026-07-24 11:16:46
SIM_1784866611330,OPTIMISTIC_LOCK,200,50,50,150,0,3709,53.92,0.00,2026-07-24 11:16:51
SIM_1784866619245,OPTIMISTIC_LOCK,200,50,50,133,0,30003,6.10,0.00,2026-07-24 11:16:59
SIM_1784867061521,NO_LOCK,200,50,200,0,151,5568,35.92,308.16,2026-07-24 11:24:21
SIM_1784867065810,SYNCHRONIZED,200,50,49,151,0,2510,79.68,0.00,2026-07-24 11:24:25
SIM_1784867067593,FILE_LOCK,200,50,1,0,0,68,14.71,0.00,2026-07-24 11:24:27
SIM_1784867072912,OPTIMISTIC_LOCK,200,50,47,153,0,3994,50.08,0.00,2026-07-24 11:24:32
SIM_1784867472213,NO_LOCK,1000,100,836,164,735,22963,43.55,735.00,2026-07-24 11:31:12
SIM_1784867484845,SYNCHRONIZED,1000,100,100,900,0,7584,131.86,0.00,2026-07-24 11:31:24
SIM_1784867487844,FILE_LOCK,1000,100,2,0,0,333,6.01,0.00,2026-07-24 11:31:27
SIM_1784867510234,OPTIMISTIC_LOCK,1000,100,100,900,0,19104,52.35,0.00,2026-07-24 11:31:50
SIM_1784868333627,NO_LOCK,500,100,500,0,401,12285,40.70,80.20,2026-07-24 11:45:33
SIM_1784868341626,SYNCHRONIZED,500,100,99,401,0,4641,107.74,0.00,2026-07-24 11:45:41
SIM_1784868344396,FILE_LOCK,500,100,1,0,0,105,9.52,0.00,2026-07-24 11:45:44
SIM_1784868357369,OPTIMISTIC_LOCK,500,100,100,400,0,10472,47.75,0.00,2026-07-24 11:45:57
SIM_1784868643528,NO_LOCK,500,100,500,0,401,13778,36.29,80.20,2026-07-24 11:50:43
SIM_1784868652587,SYNCHRONIZED,500,100,100,400,0,5422,92.22,0.00,2026-07-24 11:50:52
