id,matchId,seatId,fanId,purchasedAt,price
TKT10830080,MATCH001,SEAT000009,SIM_FAN_0001,2026-07-24 23:34:16,500000.0
TKT10830081,MATCH001,SEAT000051,SIM_FAN_0002,2026-07-24 23:34:16,500000.0
TKT10830082,MATCH001,SEAT000053,SIM_FAN_0498,2026-07-24 23:34:16,500000.0
TKT10830083,MATCH001,SEAT000083,SIM_FAN_0003,2026-07-24 23:34:16,500000.0
TKT10830084,MATCH001,SEAT000057,SIM_FAN_0004,2026-07-24 23:34:16,500000.0
TKT10830085,MATCH001,SEAT000070,SIM_FAN_0499,2026-07-24 23:34:16,500000.0
TKT10830086,MATCH001,SEAT000027,SIM_FAN_0005,2026-07-24 23:34:16,500000.0
TKT10830087,MATCH001,SEAT000081,SIM_FAN_0006,2026-07-24 23:34:16,500000.0
TKT10830088,MATCH001,SEAT000042,SIM_FAN_0500,2026-07-24 23:34:16,500000.0
TKT10830089,MATCH001,SEAT000014,SIM_FAN_0007,2026-07-24 23:34:16,500000.0
TKT10830090,MATCH001,SEAT000021,SIM_FAN_0008,2026-07-24 23:34:16,500000.0
TKT10830091,MATCH001,SEAT000007,SIM_FAN_0009,2026-07-24 23:34:16,500000.0
TKT10830092,MATCH001,SEAT000016,SIM_FAN_0010,2026-07-24 23:34:16,500000.0
TKT10830093,MATCH001,SEAT000024,SIM_FAN_0011,2026-07-24 23:34:16,500000.0
TKT10830094,MATCH001,SEAT000062,SIM_FAN_0012,2026-07-24 23:34:17,500000.0
TKT10830095,MATCH001,SEAT000017,SIM_FAN_0023,2026-07-24 23:34:17,500000.0
TKT10830096,MATCH001,SEAT000095,SIM_FAN_0014,2026-07-24 23:34:17,500000.0
TKT10830097,MATCH001,SEAT000064,SIM_FAN_0015,2026-07-24 23:34:17,500000.0
TKT10830098,MATCH001,SEAT000076,SIM_FAN_0027,2026-07-24 23:34:17,500000.0
TKT10830099,MATCH001,SEAT000090,SIM_FAN_0017,2026-07-24 23:34:17,500000.0
TKT10830100,MATCH001,SEAT000040,SIM_FAN_0018,2026-07-24 23:34:17,500000.0
TKT10830101,MATCH001,SEAT000030,SIM_FAN_0019,2026-07-24 23:34:17,500000.0
TKT10830102,MATCH001,SEAT000054,SIM_FAN_0020,2026-07-24 23:34:17,500000.0
TKT10830103,MATCH001,SEAT000082,SIM_FAN_0021,2026-07-24 23:34:17,500000.0
TKT10830104,MATCH001,SEAT000058,SIM_FAN_0013,2026-07-24 23:34:17,500000.0
TKT10830105,MATCH001,SEAT000019,SIM_FAN_0024,2026-07-24 23:34:17,500000.0
TKT10830106,MATCH001,SEAT000056,SIM_FAN_0026,2026-07-24 23:34:17,500000.0
TKT10830107,MATCH001,SEAT000065,SIM_FAN_0038,2026-07-24 23:34:17,500000.0
TKT10830108,MATCH001,SEAT000035,SIM_FAN_0029,2026-07-24 23:34:17,500000.0
TKT10830109,MATCH001,SEAT000089,SIM_FAN_0030,2026-07-24 23:34:17,500000.0
TKT10830110,MATCH001,SEAT000048,SIM_FAN_0031,2026-07-24 23:34:17,500000.0
TKT10830111,MATCH001,SEAT000002,SIM_FAN_0045,2026-07-24 23:34:17,500000.0
TKT10830112,MATCH001,SEAT000052,SIM_FAN_0035,2026-07-24 23:34:17,500000.0
TKT10830113,MATCH001,SEAT000032,SIM_FAN_0025,2026-07-24 23:34:17,500000.0
TKT10830114,MATCH001,SEAT000069,SIM_FAN_0037,2026-07-24 23:34:17,500000.0
TKT10830115,MATCH001,SEAT000041,SIM_FAN_0042,2026-07-24 23:34:17,500000.0
TKT10830116,MATCH001,SEAT000006,SIM_FAN_0056,2026-07-24 23:34:17,500000.0
TKT10830117,MATCH001,SEAT000023,SIM_FAN_0057,2026-07-24 23:34:17,500000.0
TKT10830118,MATCH001,SEAT000072,SIM_FAN_0034,2026-07-24 23:34:17,500000.0
